Name,Technology,Location,Age,Owner,Capacity,Efficiency
CCGT Energy Producer E 20,CCGT,cweNode,20,Energy Producer E,1717.19329,
CCGT Energy Producer F 21,CCGT,cweNode,21,Energy Producer F,1122.87603,
CCGT Energy Producer G 22,CCGT,cweNode,22,Energy Producer G,516.90108,
CCGT Energy Producer H 23,CCGT,cweNode,23,Energy Producer H,423.88404,
CCGT Energy Producer E 24,CCGT,cweNode,24,Energy Producer E,424.12955,
CCGT Energy Producer F 25,CCGT,cweNode,25,Energy Producer F,389.38951,
CCGT Energy Producer G 26,CCGT,cweNode,26,Energy Producer G,203.09714,
CCGT Energy Producer H 27,CCGT,cweNode,27,Energy Producer H,576.38199,
CCGT Energy Producer E 28,CCGT,cweNode,28,Energy Producer E,296.8393,
CCGT Energy Producer F 29,CCGT,cweNode,29,Energy Producer F,1253.04121,
CCGT Energy Producer G 30,CCGT,cweNode,30,Energy Producer G,518.81761,
CCGT Energy Producer H 31,CCGT,cweNode,31,Energy Producer H,845.49538,
CCGT Energy Producer E 32,CCGT,cweNode,32,Energy Producer E,589.2928,
CCGT Energy Producer F 33,CCGT,cweNode,33,Energy Producer F,822.67104,
CCGT Energy Producer G 34,CCGT,cweNode,34,Energy Producer G,846.23247,
CCGT Energy Producer H 35,CCGT,cweNode,35,Energy Producer H,753.21543,
CCGT Energy Producer E 36,CCGT,cweNode,36,Energy Producer E,1452.9078,
CCGT Energy Producer F 37,CCGT,cweNode,37,Energy Producer F,1732.94178,
CCGT Energy Producer G 38,CCGT,cweNode,38,Energy Producer G,2141.20023,
CCGT Energy Producer H 39,CCGT,cweNode,39,Energy Producer H,2502.83936,
CCGT Energy Producer E 40,CCGT,cweNode,40,Energy Producer E,2398.1766,
CoalPSC Energy Producer H 11,CoalPSC,cweNode,11,Energy Producer H,198.67406,
CoalPSC Energy Producer F 13,CoalPSC,cweNode,13,Energy Producer F,199.13915,
CoalPSC Energy Producer G 14,CoalPSC,cweNode,14,Energy Producer G,686.99173,
CoalPSC Energy Producer H 15,CoalPSC,cweNode,15,Energy Producer H,269.29889,
CoalPSC Energy Producer E 16,CoalPSC,cweNode,16,Energy Producer E,652.63965,
CoalPSC Energy Producer F 17,CoalPSC,cweNode,17,Energy Producer F,130.44731,
CoalPSC Energy Producer G 18,CoalPSC,cweNode,18,Energy Producer G,200.32553,
CoalPSC Energy Producer H 19,CoalPSC,cweNode,19,Energy Producer H,723.00762,
CoalPSC Energy Producer E 20,CoalPSC,cweNode,20,Energy Producer E,990.25125,
CoalPSC Energy Producer F 21,CoalPSC,cweNode,21,Energy Producer F,491.30245,
CoalPSC Energy Producer G 22,CoalPSC,cweNode,22,Energy Producer G,270.93803,
