hour,nl_node_0,nl_node_1,nl_node_2,nl_node_3,nl_node_4,nl_node_5,nl_node_6,nl_node_7,nl_node_8,nl_node_9,nl_node_10,nl_node_11,nl_node_12,nl_node_13,nl_node_14,nl_node_15,nl_node_16,nl_node_17,nl_node_18
66,0.0387017894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
67,0.019550172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
68,0.0003985545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
69,0.0002777375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
70,0.0001569205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
71,3.63394868329969E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
72,3.02042487962571E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
73,0.000024305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
74,1.82877287633588E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
75,1.21760877959912E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
76,0.000006088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
78,0.004049729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
79,0.0080996941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
80,0.0121494231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
81,0.0636792874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
82,0.1152089157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
83,0.1667387799,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
84,0.1653998822,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
85,0.1640612205,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
86,0.1627223228,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
87,0.1223817169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
88,0.0820411109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
89,0.041700505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
90,0.0278820612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
91,0.0140633814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
92,0.0002449376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
93,0.0001632917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
94,8.16458600273826E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
102,0.0010498336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
103,0.0020996672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
104,0.0031497368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
105,0.0227183145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
106,0.0422868922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
107,0.0618554699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
108,0.0701571549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
109,0.0784586039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
110,0.0867600529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
111,0.0674951695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
112,0.0482300501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
113,0.0289651667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
114,0.0194015104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
