YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110
Coal.Medium,3.6917419368,4.18900058416396,4.00950781947255,3.80816350099572,3.84496197028836,3.4372931106256,3.01477519438266,2.85031712816937,3.00634488615546,2.86395065538161,3.09327439263064,3.18424429141117,3.20908670577195,3.20673182635503,2.6862103605494,3.02974956707038,2.99774800694537,3.18202307561906,3.36833377907744,3.43326658658641,2.59763698919238,2.52172413146486,2.29079704937374,2.00272614709405,2.49260718687822,2.64630379616725,2.89407680350867,2.76834859131511,2.67646789404868,2.72968771060271,2.84416119370236,2.6272915983601,2.56089309318722,2.73522755726708,2.67963501158959,3.01057971248055,3.19580361171231,3.50794962011106,3.81718802067598,3.84857444071168,3.82184623675934,3.8728084751406,3.91232781090278,4.46495010941145,4.03667243553738,4.40146850560564,3.94963802633229,4.07989511139938,3.88931563990665,3.56355862420922,4.20790369303811,3.64695183096504,4.05609097355919,3.99142906786612,3.30873237401241,3.43435248185278,3.63383571881033,3.63109923317148,3.86529057779035,4.17142668978984,4.41827192475813,4.00311997781482,3.96785977906146,4.26723674788695,3.95925667364173,4.14121160975725,3.82178719997064,4.20042099450564,3.78437322335104,3.54849583398271,3.10765983657549,3.10186923638883,3.17764011342477,2.75069597013929,2.62361353541271,2.76781991753461,2.8348185802114,2.75280464992661,2.76507696513897,2.85689172135241,3.30215712876727,3.73703898911089,4.11901643391782,3.74680902711013,3.63963226272618,4.33327454714789,4.28649394731002,4.26898439199734,4.13282275811395,4.18590809564181,3.87415513885277,4.04997337361453,3.35587419324662,3.29459379873034,3.55670868851418,2.75348795937063,3.1018526267777,3.18742730793232,3.03966449553585,3.03981470200436
NaturalGas.Medium,6.1752774216,7.13926931157756,6.60606360149017,6.68611181541898,7.05264974356477,6.82527550982647,6.97939785010841,7.43462660007918,8.3599039332247,7.56247896337136,8.1163974063079,8.51411822667991,8.05934130377904,8.09705377217044,6.90759847648625,7.26165273168045,7.55124648253127,7.0720838870169,7.06152499508115,6.9697919982697,5.17718024264349,5.46901629274507,5.5060397588832,5.49278980804424,6.26005356521173,6.37769946332765,6.94414009250148,6.21008318368045,6.41771564294264,6.92315425118825,7.02311763897987,6.64802568311698,6.65345370067108,6.56003573833295,6.56831858558691,6.87027371697786,7.03355652876347,7.57099486559421,8.51289191930929,8.64357368088445,8.87613673612747,8.91070735533481,8.77684768687149,10.0206326885223,9.84758465222389,10.3848095294227,10.2595529979811,11.234598154529,12.0036686718981,12.1261879413126,12.4787120766989,11.2969120450574,12.173403442014,11.5263092279594,9.80166282920329,10.3766820765538,11.0205270330692,11.8663115824893,12.7231215006937,12.2173451731788,11.8974542263871,11.8729378035347,12.1035372490462,12.213830638771,13.0387833605045,13.4350952947438,13.3593021048563,13.5235870076433,13.1240391285504,12.8918354523654,12.1650900276682,11.3648439316177,11.5442515942568,11.070708202888,10.8818869245411,11.4452470451612,11.060151610651,11.952819297335,11.6885344439327,10.4274617901605,10.1450060188954,12.0714862891748,13.8462248330224,14.3833558741415,13.9041041201639,13.6691027435967,14.093208534543,14.3503141862653,13.3827621450356,12.4088943875711,11.8740771030574,11.0177005702877,10.1435669816277,11.4439762177901,12.7780720735874,11.8050547852911,11.4782474165867,13.4895408001082,13.5082660762744,13.086644089185
Coal.Low,3.6917419368,4.15023220036697,3.86955961783043,3.54412957700628,3.45152340184407,2.97643687467555,2.51839865817055,2.29633391986141,2.3353125988164,2.14386732733672,2.24641850767051,2.25581759379897,2.22770427360892,2.18935548684502,1.80917435889855,2.01792855846765,1.97847431140307,2.08445903218616,2.19304816911381,2.22415586467267,1.67592708023716,1.62149661593824,1.4689642453846,1.2813528122801,1.59184483157638,1.6874518257162,1.84316960026959,1.76131415346594,1.70144730414473,1.73410354736036,1.80582321590032,1.66736990501727,1.6246265961523,1.73469564992096,1.69901481154721,1.9084596388291,2.02553771185319,2.22307522547528,2.41877626903443,2.43844068018282,2.42132392439403,2.45346007640026,2.4783711550558,2.82832828572525,2.55694895377091,2.78794464815658,2.50169303101119,2.58414974980079,2.46340196228022,2.25704703036286,2.66512803408922,2.30982298555873,2.56893667841554,2.52796877456755,2.09557373510126,2.17512664393321,2.30146111482724,2.29972221848685,2.44804005850625,2.64192362078681,2.79825627313009,2.53532221730542,2.51298832706729,2.70259248990029,2.50753622767069,2.62277334823357,2.42046975664527,2.66027070615238,2.39677271495379,2.24738300320523,1.96818621829838,1.96451853563522,2.01250653963146,1.7421082517835,1.66162253363585,1.75295315675842,1.79538555556702,1.7434433065174,1.75121570860236,1.80936500839258,2.09136641959543,2.36679158033599,2.60871060719683,2.37297919875037,2.30510055096856,2.74440732813391,2.71477959305919,2.70369019084796,2.61745447365145,2.65107517715014,2.45363162576616,2.56498316900397,2.12538701102967,2.08657609019643,2.2525821850136,1.7438757175072,1.9645066727672,2.01870396938642,1.92512085318647,1.92521598286495
NaturalGas.Low,6.1752774216,6.93201648423417,6.09296622809525,5.76457588054612,5.70474147723475,5.19358858072676,5.04713648710308,5.15167823339189,5.59388602314934,4.91756864651986,5.15556118503941,5.30545788359583,4.9438258999564,4.90351206737617,4.13938682048952,4.31421457644917,4.45472274902527,4.14801822264598,4.12228236494609,4.05300712195163,2.99547551431036,3.14552202572314,3.14565602780673,3.11527914807156,3.52299517335626,3.56016547856994,3.84392514059345,3.40809529593959,3.49127542106507,3.73291312657576,3.75301885529944,3.52070723520688,3.49189062378198,3.41188333202624,3.38549036077912,3.50938601981233,3.56070866667467,3.79871588845979,4.23354440655385,4.2607525667887,4.3371794741366,4.31630089661704,4.2148372975784,4.77097752482477,4.64878674206436,4.86109474060922,4.76231100707015,5.17164576193906,5.4801851219779,5.49089947960988,5.60473024983973,5.03312841551836,5.38035452944997,5.0540179243215,4.26403359375332,4.47899021547554,4.72009543823456,5.04332214989237,5.36627072301153,5.11397668165921,4.94269315190206,4.89575730058801,4.95393282633146,4.96237420576504,5.25893581648432,5.37957266534789,5.31079752909023,5.33776221432364,5.14337609031173,5.01684571900337,4.70097595637373,4.36128108527222,4.39962014708566,4.1902912815114,4.09084252795631,4.27359663082845,4.10212633354601,4.40369696213817,4.27784969480404,3.79124167839479,3.66447142690449,4.3320600164011,4.93694249374,5.09563053395632,4.89451370216846,4.78137676448983,4.8987652227675,4.95700202529733,4.59410927150092,4.23353593795109,4.02625380603554,3.71312601384641,3.39784045791371,3.81038371054084,4.22914246654368,3.88387953372189,3.75404477803324,4.38593645070011,4.36637546868455,4.20553152151511
Coal.High,3.6917419368,4.22621307413567,4.10902709023025,3.98498956828958,4.11635815031111,3.7698742266332,3.39077635700846,3.28872269399782,3.55979788100993,3.47972354184953,3.85282065221614,4.06235961536355,4.19016655808014,4.28195979444508,3.66590889012742,4.21588698125525,4.24498188505379,4.57811955094476,4.91730114024529,5.08007818544533,3.89221272341998,3.82332470450319,3.512208458113,3.10337605147217,3.90203815736334,4.18348180865161,4.61879935999358,4.45903925285477,4.3499205560997,4.47550496865297,4.70343796697056,4.38160587630999,4.30645294861154,4.63735926273026,4.57986887832756,5.18660485404545,5.54916873715858,6.13872631728411,6.73147742674273,6.83873328303196,6.84268858953443,6.98598743678679,7.10979366215193,8.17393670429746,7.44397643412445,8.17561995083597,7.38920254821318,7.68745699765426,7.38035364012813,6.80981909916474,8.09735252842019,7.06661174490693,7.91355489434354,7.84068935544698,6.54378329963948,6.83806856971273,7.28375612133053,7.32673122132641,7.85085821665934,8.52832096362616,9.0919420683249,8.29105406374648,8.2709663941389,8.95194904052505,8.35868203328653,8.79807071649771,8.17043585482786,9.03593881199581,8.19142416038443,7.72819749545363,6.80956731289638,6.83825876164152,7.0476905550664,6.13746523912713,5.8889125661942,6.24951769285304,6.43861106593628,6.28905747752347,6.35397966311688,6.60307379151863,7.67625505957792,8.73703885079797,9.68503036063595,8.85983944854024,8.65495469503044,10.3622202487217,10.3075303535043,10.3223693142793,10.0482584519571,10.2331611378086,9.52270429638234,10.0088879051943,8.33829072787069,8.22997312587165,8.93218320467231,6.95173218934389,7.87262209040447,8.13232867416355,7.79587370266698,7.83680444986625
NaturalGas.High,6.1752774216,7.32245003234412,7.03917742298391,7.24523625490712,7.76852975697352,7.63938614327357,8.00142885788619,8.78940486531436,10.1779798551351,9.47118356252543,10.4103437371788,11.1358886215412,10.7110093884066,10.9029618505425,9.40156953423516,9.97058423700731,10.4429851141491,9.83803985949889,9.87078436499006,9.78105627218136,7.28483859729532,7.70812492282352,7.76656806280449,7.74890176645203,8.82768081693555,8.98596205780384,9.77236146716378,8.72646933179422,9.002986779575,9.69394771233866,9.81430330310807,9.27066995877,9.25809496092785,9.10778890104592,9.09864549595106,9.49514964413998,9.6984478673664,10.4154437849752,11.68424639992,11.8363920101542,12.1271295319322,12.1467867897896,11.9374443463638,13.5988074366496,13.3345484155758,14.0313866729785,13.8323162470443,15.1147037253098,16.1154747748749,16.2462034876224,16.6842756942265,15.0736641678043,16.2107846417839,15.3188644243916,13.0014440206535,13.7377933227179,14.5625836782955,15.6509329424072,16.7500928536795,16.0549859387695,15.6065524770571,15.546803516365,15.8210451490786,15.9376570890775,16.9851345239542,17.4719527815947,17.3445289682556,17.529025857632,16.9835892100841,16.6564162174308,15.6926251948144,14.637458328367,14.8456153256747,14.2149783272807,13.9515156787406,14.6519896095065,14.1382117381161,15.2571463100171,14.8984135329758,13.2721993796947,12.8946071868502,15.3219886483994,17.5505728532538,18.2067526710706,17.5765783141102,17.2566693259914,17.7688357971245,18.0696192767553,16.8297673091488,15.5853427804282,14.8949863269609,13.8036563745788,12.6929527550088,14.3028788177292,15.9511524115863,14.719075533168,14.2948430656828,16.7802203115786,16.7842559995392,16.2419438654782
Biomass,4.5,4.65933536818829,4.63186073480987,4.52353717008188,4.56299866169042,4.73710770737819,4.57314071567996,4.82468425744613,4.81429547855228,4.77831466962763,4.64743677254786,4.64842749964778,4.71524591753996,4.72392279842629,4.78029199004096,4.64192015215243,4.6641563310623,4.78927452506336,5.1110104541874,4.88955532244844,5.09311674065166,5.34013203420938,5.45539086318268,5.70658940881933,5.70718299592863,5.64747390679154,5.81314543381377,5.76782274436336,5.70093874493042,5.92048004068772,6.10220212533947,6.15771130056516,6.26532639348182,6.46296735139942,6.41627574947093,6.2507422583011,6.47581919729305,6.72022262533899,6.85227611007414,6.98915319533861,7.04940552929317,7.17589933338954,7.29813826534321,7.2623098324144,7.41036735045968,7.32042444206462,7.25046693275103,7.20857805258297,7.11767650874284,7.13515349670882,7.30969944883585,7.54064500603716,7.61661839812972,7.99699922798731,8.20654697789724,8.29345109658503,8.33607478999887,8.65041742746831,8.85346111683691,8.63809888162903,8.88053884964445,8.7654355981972,9.12414490832053,9.06320951619183,8.67546097828117,9.19054721626765,9.62569372009348,9.90977518895738,9.99101458580403,10.3225635597169,10.6831536121168,11.0614018129422,11.0663195847823,11.4026398303276,11.2990608312772,11.2894243326724,10.9117542056219,11.0118434489166,11.0529530008804,10.7694681954173,10.8253910480295,11.2504951328231,11.3432695564435,11.1925922106506,11.3726425776844,11.5396071476177,11.8505325347356,12.2868947603185,12.4053328514799,12.6601661772969,12.3878524496418,12.3715489891541,12.2543588640288,12.5896104650865,12.2041466133872,12.5265978688884,12.0852349216726,12.1102163803349,12.498290407678,12.6012056306467
Lignite,1.427777777,1.43604904695317,1.43244228550868,1.4405859611611,1.4388325825612,1.4337799167334,1.44317246310118,1.44811452397433,1.45642788002587,1.45384820118778,1.45336542039538,1.46134100899795,1.46463229352616,1.47132286697458,1.47141787781858,1.4788369243763,1.48292512053467,1.48153451174916,1.47515341874194,1.47882262965056,1.47708916616089,1.47840689967347,1.48181654404161,1.48358922791684,1.48457742077646,1.48320775216256,1.48462632838801,1.48999522478257,1.48575714578745,1.48898451735485,1.49118634221939,1.49506971654246,1.49364163666805,1.49133902308575,1.48897786156736,1.48274502117018,1.48105233396652,1.47662395155276,1.47454311052265,1.48162602251043,1.48560641455604,1.49249892651426,1.49462375985727,1.48902177282263,1.48959684660253,1.48182897948613,1.48796832710185,1.48499565233238,1.4868487790941,1.47913226017526,1.47723016737908,1.47269871619303,1.46457454795943,1.45725943938892,1.46218864125887,1.46794942292926,1.4611864991123,1.46220487628073,1.46488693106834,1.4625366644576,1.45669174780775,1.45829607913428,1.46635987100433,1.4749460013339,1.48165323079928,1.48276050724763,1.47616555424318,1.47486081448268,1.47290115232967,1.48195105443556,1.4843317658553,1.48067680911115,1.4766074260762,1.47532782125325,1.47489251188677,1.47052533258379,1.47863370501475,1.47747815985215,1.47816852205748,1.4773237518984,1.47338749160875,1.47488855664764,1.47874901569887,1.48606450504088,1.48603443280715,1.47997777878474,1.48622993925474,1.4885913972205,1.48491212470389,1.49098030257868,1.48108489657035,1.47942842971343,1.49012969480943,1.48313315273664,1.4775098978641,1.47957220794298,1.47715149697766,1.48987356098491,1.48673862756833,1.4860255394372
Uranium,1.286,1.28515376236568,1.28344321460111,1.2853247052443,1.28316336629768,1.29022172467918,1.29295952192932,1.29550309170738,1.28727419104686,1.29630199839555,1.29666216113618,1.30051001290334,1.30297179675588,1.29566339890492,1.29302709295701,1.29499521666886,1.29624473640188,1.29497210156669,1.29739569579678,1.30091624627068,1.2891089674562,1.28912526460454,1.29076548261479,1.29109016937111,1.29104796453314,1.29074471771678,1.28989955482479,1.29365755824493,1.29815286360168,1.29849452081161,1.29485950751005,1.30211351493227,1.30028108774575,1.31132146385902,1.31560167645393,1.3237292950399,1.32170306479747,1.32405258861374,1.33409601814406,1.33749575090248,1.32569930299475,1.32822317052725,1.32936421516686,1.32387918746394,1.33318870455955,1.33256899070569,1.3252099165662,1.33148621729697,1.33501220555068,1.34300317309064,1.34554870653153,1.34008109896905,1.34537502468351,1.34588190725122,1.34556684886863,1.33961476235931,1.33683857726684,1.33608891887395,1.34515200625526,1.34479015743229,1.34474979933945,1.33808552037565,1.33773178460434,1.34664289072913,1.35036655882648,1.34783000232604,1.34673002620041,1.33790543319109,1.3346257400507,1.33226388533153,1.33432549727716,1.32718908889636,1.3228130677975,1.32950533892328,1.31899751331867,1.31804484802881,1.32909536944958,1.32616988434635,1.32022396869149,1.31463426735225,1.31401987305055,1.30834134701711,1.30943477031697,1.31343720486911,1.30731051195927,1.3011909280799,1.29663211923499,1.29925571568647,1.30042554729372,1.29734099923006,1.29577900831081,1.30611106624474,1.30706889877554,1.31277308430298,1.32104225878129,1.31861252844864,1.31646306615823,1.31733305012007,1.31396695496714,1.31345647717883
