YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110
Coal.Medium,3.6917419368,3.79724544038098,3.9071891722982,4.08689741137129,4.28729051329458,3.90097543945831,3.76144296185725,4.17329680644508,3.88055391625477,3.9292594827407,4.00812599828033,3.86790089483714,3.94766069625548,3.60639317581495,2.95319394584198,3.03621506246967,2.85588182242674,3.47049965735955,3.5228721930872,3.33341336195924,3.02990030834127,3.63119794243872,3.95358602693102,3.72534071238938,3.93564075559877,3.43005025108792,3.51005502236022,3.69700060133242,3.78179030349257,3.52670340287984,3.11973824879165,2.99588992546888,3.20414138050285,3.64282952650127,3.99473591049332,4.65540110316983,4.54093971959382,4.53219157977279,4.20071932278484,4.04176335489934,3.9553975505894,4.10175420549424,3.90944190350967,4.26368127502118,4.32148227236659,4.79518227362536,4.39037502410889,4.27412188761316,4.17040353831122,5.00896836635636,4.82357793846948,4.98923385162503,5.52409366552485,5.11601389016795,5.08931268859725,4.95250868635278,3.73273349339913,3.48001443261932,3.35510343154132,3.27920787431428,3.1911568224213,2.91122482001805,2.97846881106002,3.06450111540194,2.90952433454588,2.56543415841855,2.59954315709965,2.23869453609144,2.5944662153942,2.64482420548646,2.5614565812924,2.83005634941705,2.68983393452044,3.27320113157524,3.08659918334643,2.75785531107351,3.18458266668486,3.64140657674222,3.28290363306282,3.6842263465967,3.5697894338347,3.58147281011229,3.07769142769301,2.98278259340483,3.45594282236022,3.42305291647952,3.72628705575296,3.8606550663603,4.20873048421027,3.70070264347903,3.40463912545237,3.28449290174749,3.43178228545445,3.36194447253789,3.46472863669342,3.22137488018865,3.27184408064386,3.34633240660333,2.87386029295662,2.94126929866868
NaturalGas.Medium,6.1752774216,6.44158361076705,6.77481834185979,6.71698438932356,7.78633693350875,7.82822578461092,8.07537629366045,8.04984036789346,8.72667483580428,8.87401206937881,8.23589420784172,8.49666702526488,7.82662940472361,7.25619711896787,6.86152644005955,7.29315347968073,6.92638353986849,8.75354158702186,8.08345368895027,6.92123962284157,7.49296668080217,7.89085869100198,8.50612101554755,8.16485873938924,8.21611320370972,7.61450991693677,7.44015745460525,7.64229851340892,8.64571261247748,8.8369830211481,8.41290032638934,7.9840729021641,7.88599896394156,8.11490120269039,8.83953215052936,9.46649365727693,10.4197165298745,9.62594603558289,9.49649899299335,9.02292343959641,8.76179556366882,9.04374610338191,8.85827871977597,8.80442980234448,9.80268200017597,9.8975707887603,10.0744422745836,10.68272820068,10.700954264218,12.2402693813824,11.5817841957231,11.9294233604008,14.7413338968163,14.0193196959024,13.5249477670928,13.5399973395693,10.3770649885566,11.2192810756912,11.8035217646248,11.1185624316425,11.3722564611238,10.0259487413934,9.67942662212639,10.3242498478203,9.45569943726366,10.0214209202987,9.6965028849659,9.24560218535213,8.35998226886472,9.23038394631187,10.2838881338219,10.3742452107616,9.94622590951523,11.1501205912948,10.6950990503441,9.72491280653572,11.1521134319112,11.7398573020698,11.6205897753859,13.1122034307893,12.8814137094761,13.8317509211855,14.0424804062143,13.3204835776437,13.8030484289947,13.6553144017617,14.7862010497189,14.8660948749295,14.9371219770562,15.7778091047425,14.4777644532226,13.8257133854013,13.2192977779281,13.1834595078395,14.2405585702628,13.0967685989732,13.4191699322737,14.1938472318607,14.6339293307238,16.1814318774857
Coal.Low,3.6917419368,3.76210267407042,3.77081230941166,3.80353784443449,3.84859035056477,3.37795083849981,3.14212911316796,3.36218132346699,3.01439348916652,2.9413254763474,2.91080818599961,2.74014117358364,2.74041227617465,2.46221920470525,1.98898896457945,2.02223482455402,1.88484449292714,2.27343239978695,2.29366473746194,2.15946845122546,1.95481200733395,2.33490059519159,2.53522088139651,2.38348902841658,2.51340420934418,2.18721847691096,2.23547167257082,2.35215301459038,2.4041076416518,2.24042803785473,1.98079341272023,1.90129512216656,2.03270230938005,2.31030157481276,2.53285072436843,2.95114096169859,2.87810071168958,2.87216291828659,2.66180239374926,2.56084436876223,2.50593512308662,2.59849931928834,2.47654299801351,2.70083428839232,2.73735601575913,3.03732782358046,2.78085498673866,2.70717033279448,2.64143649190241,3.17252453759616,3.05507295941645,3.15996688877619,3.4987003311509,3.24022377566956,3.22329786588595,3.13664181382601,2.36409723824384,2.20403409475524,2.12491853731221,2.07684741573571,2.02107854585504,1.84378509928941,1.8863714373743,1.94085732503065,1.84270389003415,1.62477868107363,1.64638041409062,1.41784204539916,1.64316399782047,1.67505705063905,1.62225719904558,1.79237025536076,1.70356245217168,2.0730283400879,1.95484688812739,1.74664223738062,2.0169028664433,2.30622464354632,2.07917265397291,2.3333436772236,2.2608668987643,2.26826632445512,1.94920471959974,1.88909576050733,2.18876389945269,2.16793360456695,2.3599818829062,2.44508161068309,2.6655293679511,2.34377838499507,2.1562714793617,2.08017886403447,2.17346213659166,2.12923151730238,2.19432815178981,2.04020410237519,2.0721679273834,2.11934386559506,1.82011152455826,1.8628038939259
NaturalGas.Low,6.1752774216,6.25458458360676,6.24861367503645,5.79119333771911,6.29820576313783,5.95676818961696,5.83969093239008,5.57797851005919,5.83930446838814,5.77040461634051,5.23146592958103,5.29458340292025,4.80107389698081,4.3942958929593,4.11177809641167,4.33292946012833,4.0860960365822,5.13425046927322,4.71885019355302,4.02477340659158,4.33537121945473,4.53845234422537,4.85963269746493,4.63076415931995,4.62381461418677,4.25057898986702,4.11849529369569,4.19409544821571,4.70331900334785,4.76483532247011,4.49569196697667,4.22826032463355,4.13875966981848,4.22057093267223,4.55613571410532,4.83555413744177,5.27493804883659,4.82977928211227,4.72270182385839,4.44774876972698,4.28130852476086,4.380744183169,4.25394228913244,4.19192460312378,4.62758937632486,4.63301990948742,4.67638573959153,4.91760232676606,4.88544060592272,5.54255707579297,5.20188107794349,5.31493203244435,6.51531866003353,6.14714490376621,5.88378039905811,5.84440336073558,4.44450042795354,4.76832656563631,4.9784082680089,4.65404457376049,4.72450434038272,4.13415892159266,3.96175335331804,4.19465380304736,3.81376966436634,4.01269666258905,3.85470462140185,3.64924083867307,3.2763185552814,3.59199528701056,3.97401998219333,3.9811368888046,3.79059790421915,4.2203490729992,4.02062310877192,3.6312326366675,4.13623427545789,4.32523680405567,4.25298284079417,4.76736651188769,4.65288757725649,4.96376118790114,5.00691842512989,4.71908387995416,4.85894014339508,4.77655367854868,5.13964774605245,5.13516717799933,5.12769858872444,5.38290679095176,4.90911030194208,4.65946734564213,4.428133111006,4.3895616699339,4.71317978564923,4.30885518488419,4.38883768413954,4.61493188481165,4.73023182097097,5.20007431700955
Coal.High,3.6917419368,3.8309778199859,4.00416881036027,4.27666604827391,4.58990840053174,4.27842092444261,4.23056813226604,4.81518908212132,4.59494440303354,4.77408250677647,4.99231192022571,4.93454740071198,5.15453689747469,4.81562893874837,4.03026512715792,4.22488369774215,4.04409128918381,4.99316376887486,5.14290583659164,4.93232904468338,4.53990167982884,5.50545899412177,6.0615663388691,5.77269796331297,6.16102708957285,5.42248884990841,5.60186926316692,5.95483923191105,6.14634213120946,5.78226532699928,5.15916445202453,4.99632736252261,5.38815311445176,6.17612571297242,6.82755919909885,8.02029119479267,7.88485269775084,7.93109557965767,7.40782144978036,7.18202077239222,7.08180078679467,7.39897248529178,7.10454916141354,7.805475988603,7.96919064147472,8.90693363231325,8.21375784298963,8.05342473681615,7.91374518924805,9.57193975050569,9.28210668906676,9.66751966248239,10.7776720859065,10.0498029575166,10.0652925694017,9.86083815459392,7.48198942816888,7.02187650538779,6.81460832326766,6.70421401077324,6.56677847232832,6.02957755657027,6.20859022596189,6.4288108301689,6.14251380631235,5.45030615945952,5.55745244452715,4.81587604512302,5.61582380642212,5.76010928490078,5.61271565313688,6.23903077547865,5.96578483980219,7.30330010433591,6.92812126186651,6.22701840235136,7.23301637051391,8.31915743123085,7.54391403329537,8.51527492253676,8.29839802727108,8.37333171428123,7.23656615507219,7.05319505110995,8.21814578974504,8.18559448695358,8.96042719415179,9.33503234744073,10.2328152294812,9.04699425036675,8.36863018272867,8.11712034779561,8.52689843631835,8.39821669983185,8.7011879936528,8.13300649176251,8.30406698347693,8.53775548567921,7.37063314583006,7.58274914351298
NaturalGas.High,6.1752774216,6.60686298001354,7.21899624249443,7.27869054013459,8.57668994848038,8.76196711755802,9.25789735763252,9.51672624605157,10.62451451483,11.1137363359599,10.5636140512338,11.1130636348431,10.4017310936149,9.77071939920146,9.33886330492493,10.0138362173857,9.57883183512341,12.1771308741118,11.2992630265546,9.71292030537941,10.5433943433045,11.1215109414241,11.9983455824339,11.5184979799932,11.5860390270808,10.7285860043747,10.4703976375027,10.7390322527298,12.1284956642999,12.3737314284354,11.756424953462,11.1337874326651,10.9731472637415,11.2665250701408,12.244803344986,13.0832886117798,14.3675645662991,13.2424472068308,13.0342820304159,12.3558684002267,11.9709095174754,12.3281408891744,12.0481991934393,11.9483219466492,13.2737460352088,13.3730563345241,13.5827429891005,14.3722338360806,14.3665210383407,16.3990454440975,15.4850660360453,15.9176349017354,19.6303844091101,18.6321617350668,17.9402060997453,17.9257380797513,13.7123094728148,14.7975396193688,15.5394323277595,14.6110600109128,14.9176213554533,13.128297117937,12.652387682611,13.4719694945006,12.3175853543584,13.0325680080918,12.5890764247279,11.9839802623978,10.8185066554025,11.9257740625485,13.2659274746363,13.3616073282203,12.7905947465993,14.3169451896919,13.7120375465446,12.4496501327125,14.2557666999802,14.9853115035661,14.8118100520837,16.6893709842954,16.3726635041548,17.5562416694241,17.7993336365503,16.861346689838,17.4488309055342,17.2392621223099,18.6425665860088,18.7190796685971,18.7844844298815,19.8166376101866,18.1610833165456,17.321708417105,16.5417079074396,16.4769150294059,17.776806929264,16.3296426619638,16.7120398516925,17.656337391233,18.1829122093941,20.0829109759606
Biomass,4.5,4.67640623156254,4.65712547990073,4.79851983351849,4.6276229677967,4.85519305803224,4.78823545048363,4.88777293014465,4.96441245441266,5.02830702000932,5.20956998793179,5.43125370311778,5.49464446871385,5.51724129316556,5.57006410031783,5.6099547861413,5.58109144583327,5.51059422575794,5.62767359550047,5.60209931330299,5.81597199703311,5.78269773278489,5.78585646030377,5.81273568886896,5.68217966714402,5.85257404352151,5.68971959891068,5.91899220564805,5.90762620962866,5.84372069418507,5.97449604268694,6.14381469122752,5.97877193904882,5.85063561394839,5.84367728939716,5.92292720207237,6.0136830368274,6.2515751134332,6.12130484286502,6.08841904351824,6.1838053973905,6.38559044640988,6.1799271759921,6.15135460571273,6.53733512235417,6.56140243192117,6.53739570228627,6.69774135882834,6.67574408718065,6.64440989586839,6.72606583837813,6.94997928388397,6.69894282559222,7.04357828670909,7.08323006202354,7.20858503504354,7.1804855119023,7.32201404525243,7.31582816134295,7.49040861389342,7.59665257234489,7.76825686011957,7.78704141188055,7.84422282807675,7.90158651394189,7.95470986726259,8.10378870491938,8.34177467196667,8.18104615253025,8.10704386552066,8.04883052890899,8.16324853568846,8.06552655357094,8.03755114529791,7.89053948345192,7.67762569313891,7.63275107767408,7.91642417293111,8.06520259100078,7.9572049857744,7.91475081084628,7.699240581895,7.77565019813925,7.62624096336928,7.80248764169442,7.91739267412883,8.00954857066032,8.01219491476363,8.02825409987216,7.89188325649793,7.77426970064593,7.58419068446186,7.31114329072454,7.2407147354037,7.42988665075707,7.38370243938409,7.7385665414352,7.82280503998865,7.89788169622065,8.12559523648635
Lignite,1.427777777,1.43450067213536,1.43794362565204,1.43209097421497,1.4297140713085,1.42586381249765,1.42930327449957,1.43756756879233,1.43353960904001,1.44015087045176,1.44660091996819,1.45916544692699,1.46413256457609,1.46111655897275,1.46880896484561,1.46767337554042,1.46604928425447,1.46675228813281,1.47264810798522,1.4604896314771,1.46216982520441,1.45464935359986,1.44501109864667,1.45100441121826,1.46359917319889,1.46854109173463,1.47590200768725,1.47518754540728,1.48178191475049,1.47590312369895,1.47949717744029,1.47511771661065,1.47837756248336,1.4861904980731,1.48787539965183,1.48250314245932,1.48847543478565,1.47962214880933,1.47822117513548,1.47186396055553,1.47192193673188,1.47495271233765,1.48667373835256,1.48330778059771,1.49013148317953,1.49525218064955,1.50346342609346,1.51018831734142,1.50398086164208,1.51579691229711,1.51843136140983,1.51168562138949,1.50438965029299,1.50524854719936,1.50899002977153,1.50478127788337,1.50076619171842,1.49038766100577,1.49205380997212,1.48147583691957,1.47746115749158,1.4793342275855,1.48480504591567,1.48275647737169,1.47380626399005,1.4732858024709,1.47438379159203,1.48737367332722,1.49746343859673,1.49100098809564,1.48874418828295,1.48898580716499,1.4889264576178,1.48793808559782,1.4894829747046,1.48574097649337,1.48187290060902,1.49024325151524,1.48755998598266,1.49177977537435,1.48201905432526,1.4775729386424,1.47827586955307,1.46972506257506,1.46607006663733,1.4631410829596,1.45791937597279,1.46014770934564,1.46433104839661,1.46934922289475,1.46858932817447,1.45779477914603,1.455222717033,1.45470294145715,1.45985204714885,1.45864554160864,1.4659706054772,1.46215955072912,1.46178787446756,1.4678209731911
Uranium,1.286,1.29663326498908,1.29951601285652,1.2959245164229,1.30462845279832,1.29901958492278,1.29716510174304,1.29476866888197,1.30008537360448,1.31111193225095,1.30094483191053,1.30737032307443,1.31814158296737,1.32308367510158,1.31954686828533,1.33052527614701,1.32885392722732,1.32900374506821,1.33810296585495,1.33829623996486,1.3413704129232,1.33932499145515,1.3446678120651,1.33853547569989,1.33512804449042,1.32476782355987,1.32557439663526,1.32269973255899,1.31965459526208,1.3189236165699,1.33053007956435,1.326955704083,1.31802065995565,1.32089472172246,1.32155703450469,1.32193906429761,1.31744638411502,1.32193231723757,1.32083210144868,1.32760148125226,1.31948849755749,1.31373468635078,1.31469782751352,1.31266909595548,1.30867130656923,1.30934832145264,1.3099064643325,1.31180495261866,1.31277017300927,1.30742480428678,1.31145628014644,1.30954364273934,1.31584312815022,1.30552765589397,1.29751720283069,1.29526402453989,1.29618843216011,1.28923059046429,1.28649813930268,1.28817502458367,1.2817470339281,1.27307737501633,1.28213217328834,1.27320865538209,1.26339656164618,1.27341464911246,1.28025045130512,1.27420620893526,1.28034367525129,1.27616161197953,1.27928862475534,1.26910684727386,1.26830253292856,1.26987544327911,1.27005834483356,1.2706346086451,1.27106908003865,1.27388443374388,1.27918921414333,1.28123150605833,1.27427885085884,1.26678257228494,1.27339526317314,1.26827852810373,1.27074388891535,1.27064992001531,1.27857675580286,1.27897066470831,1.27230221720153,1.26450389758903,1.26472366170509,1.26737984549249,1.25779281014111,1.25905075408339,1.25885440600068,1.253970772058,1.25365805226383,1.24832782265506,1.25641164292263,1.26046515482982
