YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110
Coal.Medium,3.6917419368,3.58258654686427,3.65705977041449,3.79212177860083,4.02687810970269,3.67232774407345,3.78114056307855,3.46305472432502,3.04256237695119,3.01195124992537,3.52531605736617,3.45779553019115,4.02642370753115,4.21439872992284,4.17284464652508,4.02841782927821,3.26546576247619,2.69037650719012,2.82481158900648,2.45963955422837,2.78123130034222,3.0593250660737,3.21859491621285,3.03203585046584,3.31031086573544,3.84191928348555,3.3299612000178,3.37081651723793,3.40671023480579,3.38593670239914,3.42500089724314,3.36779774109637,3.00104624170628,3.44061376265761,3.45555958472227,3.6330384448082,4.20382751173865,4.29092221358677,4.32046175192504,4.24405325824862,3.92865537079031,3.30522063995121,2.93580239737833,2.85091952767588,3.32111085754653,3.1989200958839,3.35601476179499,3.99373248833595,3.53375767994978,3.74990193859013,3.28834978594803,3.73786309793289,3.48659005821752,3.60373875775174,3.62138525127596,4.23667927981449,4.89531004837669,4.434755729002,4.37527884793922,4.06152956972969,3.78869079977159,3.40228120153689,3.69512053533385,3.55503839492984,2.81810066324454,3.3628528530997,3.0781621561665,3.78950673582358,3.80849486199606,3.36037875313786,3.57527420882395,3.25711945974219,3.16422272368895,3.05681359887437,3.59634072272281,3.23143612018661,3.42074505032423,3.25937603862219,3.39714296906123,4.02388249341222,3.47927888948197,3.54781868428742,3.83998967860595,3.93652321263817,4.51569704129508,4.51139752931552,4.05253364385246,3.50709143792918,3.85564452530274,4.02545679697792,3.93086628006732,3.95301934148988,3.60302589778195,3.04990489158726,2.52887390239433,2.6988610653407,2.51071269645306,2.57861710169795,2.82225668230531,2.8437434605962
NaturalGas.Medium,6.1752774216,6.62957858443913,6.54407201300671,7.27349259085835,7.21188376447825,7.21592505924212,6.94532649618624,6.93413197291657,6.83896538561224,7.00664874663995,7.98374546837194,7.21342821869103,7.73148061885172,8.51198238515163,8.25103023774968,8.68129720795663,8.38465705710687,7.1073910926816,7.13211119901835,7.07323644878398,7.53121910641503,7.98734273979913,8.18275453106655,7.54319853954703,8.16204121668559,7.89144946876267,6.79579956413285,7.73835998796319,8.17800145431858,7.66772102597517,7.94594390187959,8.1788427927392,7.59268373538883,8.62583139079226,8.61513738325746,9.61102673390328,10.5209144312151,10.4446950655835,10.390941700472,11.9027884040896,12.2014818022114,10.8914320573632,9.72033074347494,9.09881312788061,10.6524470157277,9.24707433929164,9.38849744925795,9.82510686333044,8.97065378914979,9.98190542438957,9.45216113108371,10.240784354218,9.87881278515921,10.7963682675037,10.9259801118394,11.5544995484572,12.892480839497,12.3545638006308,12.4466928021227,12.3298338717874,12.3653644144582,11.8888049714697,11.4331222651554,11.8697204527705,11.8283467320534,13.9207738160497,12.644427673302,12.7497438981958,12.9898920397149,11.6383763673509,11.7158077791558,10.63936670259,11.2317717736859,11.7702291990799,12.6536845794694,12.657220715022,13.4193829423651,11.9820357454217,13.0717997171511,14.7977663828475,13.649570820904,14.4533053494508,15.7157867396188,15.2723123964629,15.3528709780196,14.8910299704641,13.7621711138975,13.3968565890812,15.2484692914901,14.4599396170639,13.1381855244323,13.6306396156437,14.8261742417371,12.7563395967644,11.1587049204602,12.2905248379631,11.4549661120313,11.8491023757052,12.5957024367604,12.7557014336452
Coal.Low,3.6917419368,3.54943040676732,3.52941344542626,3.52920008598233,3.6148248381687,3.17995916017907,3.15858354485406,2.78998078887848,2.36344615160413,2.25465612129606,2.56017870756059,2.4496097908706,2.79508848561004,2.87732728607899,2.81042901517818,2.683079641794,2.15516451378067,1.76239438782287,1.83917280461999,1.59341594995603,1.79437730215565,1.96717998602484,2.0639108355696,1.93990959251506,2.11405201359935,2.44985240113461,2.12077414341905,2.14462400406283,2.16566690670983,2.15100241099432,2.1746116740556,2.13732065492625,1.90385906913862,2.18205527773482,2.19098753794246,2.30304722027044,2.6644350509981,2.71926449934713,2.73767765701428,2.68901440603606,2.48899266236824,2.09388792032118,1.85976439866044,1.80591857531753,2.1036908662197,2.02623559610655,2.1256932117776,2.52957552307388,2.23819982973149,2.37507108123554,2.08271715318035,2.3674022857035,2.20824166458338,2.28242539110576,2.29359130912548,2.68327553214711,3.10040590526488,2.80871042861585,2.77103562366928,2.57232158317843,2.39951908301604,2.15478905643134,2.3402527532354,2.25153199484472,1.78480206988165,2.1298116754913,1.9495063474775,2.40002461021531,2.41204977192788,2.12824206296385,2.26434223643963,2.06284374479016,2.00400885467524,1.93598283946059,2.27768331838875,2.04657684261118,2.16647241396714,2.06427191922629,2.15152424572351,2.54845926677857,2.20354354748294,2.24695204277972,2.43199364868219,2.49313152375774,2.85994160577631,2.85721855489813,2.56660472912147,2.22115797305587,2.44190825550161,2.54945601941654,2.48954868242242,2.50357894788316,2.28191642552034,1.93160644769367,1.60162014929005,1.70927868442505,1.59011804848613,1.6331241706347,1.78742923771034,1.8010375296552
NaturalGas.Low,6.1752774216,6.43712206742667,6.03578956770547,6.27099891747258,5.83354256005058,5.49084735599379,5.02249786107277,4.80487032825031,4.57617613658649,4.55613514570279,5.07130025643931,4.49495045660536,4.74270696422388,5.15478957128084,4.94443994361627,5.15763839733862,4.94637840540315,4.16872710206931,4.16348823250324,4.1131611544916,4.35750377017076,4.59394545018393,4.67489016460231,4.27818466412095,4.59338430759029,4.40517245068005,3.76181131818067,4.24681401089289,4.44888135582857,4.13437797718735,4.24615944369078,4.33140790492789,3.98482086713432,4.48630640457329,4.44047653714711,4.90938268917174,5.32616906445141,5.24058327869908,5.16751692983194,5.86734585913521,5.96205511472222,5.27575377352005,4.66791882735746,4.33208503744693,5.02874117929765,4.32852468881554,4.35798175137351,4.52281172601242,4.09548486995515,4.51993978367803,4.2453750909652,4.56259042513847,4.36620008261438,4.73395582769728,4.75314720097863,4.98738325415127,5.52185388370566,5.25083509183473,5.2496805268037,5.16106257253652,5.13708234124267,4.90230006233267,4.67953446429701,4.82256520059271,4.77073010258098,5.57404414768906,5.02660952773283,5.03232620041037,5.09080318020812,4.5290632874143,4.52735907042562,4.08287777979858,4.28053122192524,4.45506176212186,4.75691682628116,4.72614139213703,4.97714733808917,4.41446098194664,4.78410657031352,5.3802075506754,4.93035313823873,5.18681666112152,5.60354438217245,5.41056357448856,5.40450767054925,5.20880017040269,4.78369741548157,4.62765096169483,5.23457963229349,4.93328995456341,4.45488681040534,4.59372463603724,4.96639641320419,4.24734792178942,3.69318255359468,4.04359985998052,3.74643045708163,3.85257072777939,4.07140086078978,4.0991795981189
Coal.High,3.6917419368,3.61441202964218,3.74783099168545,3.96820297381057,4.31111481863132,4.02765003407371,4.25272240786026,3.99570509186067,3.602682829967,3.65954547840209,4.3909491326628,4.41134775931653,5.25737928414733,5.62750080034041,5.69473951536996,5.60553072309953,4.62408547211399,3.87076554577572,4.12383396618257,3.63943810606259,4.16730432273814,4.63841106101911,4.9346913080112,4.69836949959132,5.1821078663468,6.073603286232,5.31444868387701,5.42944743725167,5.53674449523863,5.55146893773644,5.66398251008814,5.61656817302732,5.04662395743779,5.83328508055813,5.90603187778468,6.25897223536735,7.29949366070347,7.50888694836219,7.61898303113675,7.54148028556204,7.03392120262656,5.96214091523574,5.33517391360783,5.2191480749468,6.12441840488355,5.94191573192681,6.27861912012347,7.52510687797729,6.70564792657818,7.16591377729128,6.32783670824738,7.24276834271135,6.80244156248931,7.07911768874844,7.16212665460246,8.43556495040468,9.81228852644663,8.94832698644142,8.88670416938123,8.30364054070391,7.79638687996882,7.04662801473385,7.70244400553585,7.45787600471916,5.94950247572319,7.14443501052619,6.58067158943601,8.1519807270123,8.24363639261503,7.3185010998387,7.83421341696052,7.18051729002775,7.01793211561466,6.82048740000608,8.07227733372202,7.2963262813785,7.76940263073974,7.44637046740829,7.80642911942623,9.30031503602908,8.08799555490534,8.29464979373443,9.02895563018028,9.3084444382067,10.7382148765814,10.7881682362073,9.74493701754093,8.48011838813828,9.37434653181103,9.8409107690755,9.66210073476464,9.7692808880681,8.95238489458634,7.61873445639969,6.35091793450677,6.81381564740319,6.37228605450823,6.57902432586925,7.23828458175988,7.33132233079332
NaturalGas.High,6.1752774216,6.79968156423662,6.97312147554053,7.88173660176562,7.94392684526897,8.0766318999299,7.96236825117556,8.19770737360711,8.32627413911897,8.7750665831911,10.2402002360432,9.43467439424432,10.2752766477297,11.4616775223565,11.2300439542543,11.9198216021544,11.5955490311662,9.8871560326391,9.96945160736231,9.92622502209186,10.59721954032,11.2574972068471,11.5422195969832,10.6414966766417,11.5097888420601,11.1187844324007,9.56360455210474,10.8740187717297,11.472374762746,10.7365059338155,11.1038868336336,11.4053939906862,10.5650073169416,11.9758877141903,11.9339645188923,13.2830423985472,14.5071045794383,14.3688030751629,14.2619364026142,16.2995162378607,16.6704225831348,14.8468463569354,13.220681435779,12.3478238824014,14.4244071507929,12.4941411087769,12.6579263081207,13.2184148703958,12.0435134294922,13.3733756646098,12.637719441554,13.6644548133774,13.1551794319094,14.3487475908168,14.492797933389,15.2971176695103,17.036193503507,16.2949074977687,16.3861722255353,16.2028089272201,16.2203362971693,15.5675804922348,14.9447173855076,15.4886325113233,15.4083440828123,18.1035636488887,16.4163996251627,16.5259845885079,16.8099918115854,15.0369310550064,15.113063685894,13.7030730634246,14.4437741863548,15.1131752283381,16.223112777084,16.2035354649806,17.1540214015977,15.2944395721361,16.6615480101908,18.8347758792673,17.349014251626,18.345162740625,19.9203077695273,19.3320124281721,19.4080062087747,18.7993012375375,17.3514610342565,16.8690451601178,19.1760256377027,18.1614178086617,16.4806992618488,17.0773079391423,18.5524411214268,15.9430931992583,13.9296602709025,15.324381523215,14.2658488662285,14.7396083606632,15.65037977479,15.8312081568169
Biomass,4.5,4.31674800206232,4.45245368019158,4.52135175468248,4.66972868666252,4.60614448657853,4.53772419730666,4.49075738305005,4.6013103565301,4.64540393652618,4.86825026626788,4.92218762677234,5.13876670457683,5.19333831224062,5.16364369698376,5.45945692023598,5.38582361467912,5.56391851930333,5.50671924965696,5.68101576756836,5.72982529294552,5.74956935790523,5.93927776904224,5.86365526111434,5.94439345142017,5.83984195225222,5.81356558485488,5.96965125678494,5.96304175140704,5.98292383850874,6.30916871052002,6.2602250429185,6.06605877044651,6.26696951408628,6.16375417714903,6.36400138834648,6.28351296900058,6.33506088768854,6.39691260566354,6.36321230655274,6.24115254964686,6.01527970587961,6.15009082306345,6.09603764644971,6.44681082727557,6.78682485836742,7.21151809039172,7.45951042664485,7.60933426306969,7.40433755193721,7.52904559151305,7.53737558230652,7.42946125744742,7.72841180229254,7.58213745226831,7.5772764253886,7.59715351977296,7.91276796995726,8.01466134096341,8.12880005563758,8.03578773161344,8.16506859350871,8.3076186181395,8.14486650391439,8.34326275564117,8.4195931374959,8.42400523988571,8.65613373546363,8.84491431146734,8.75483861542495,8.47389695548444,8.86884824693444,9.21669444821334,9.7925577176893,10.0238150864469,10.4319331637842,9.98036015236682,9.77468649485746,9.80672175566772,9.6275747079154,9.54090415142537,9.69568322319675,9.91395676980886,10.0784440120139,9.80623125851145,10.0350249711577,9.90423675362837,9.92684824637341,10.0606254819817,10.0319230244279,9.9590590551656,10.1448378679189,10.2006613646367,10.2256022952124,10.5328659858883,10.8185778654943,10.4443166915981,10.2786692272051,9.9058612279025,9.6924492501204
Lignite,1.427777777,1.42628003907313,1.43550816861246,1.43569535974464,1.43657342496914,1.44181667214501,1.44431097862477,1.45040888918142,1.45837010383219,1.45448634864915,1.44329367766739,1.44249142792084,1.4417654237749,1.44493317309157,1.4387117078264,1.44384825362805,1.45640997520063,1.46411930279571,1.4613360863052,1.46046181821778,1.46017436944525,1.45458013847226,1.45739029922579,1.46206214675448,1.46364604307642,1.46424702057744,1.46358946685536,1.4633395516722,1.45814334350652,1.45402664477117,1.46101575109023,1.45362722929196,1.44107487483649,1.43793676831137,1.44284333845898,1.45170737394352,1.4554644642864,1.45914844253533,1.45295867319366,1.45934448924629,1.4692342147328,1.47471526261642,1.48153280579405,1.48649465554514,1.4789583128199,1.47491317202124,1.47326448614614,1.46275171504427,1.45258471182126,1.45674839363279,1.4645635625894,1.46643187448393,1.47424865500695,1.48176629952783,1.46807887644847,1.47861436311206,1.48562616116597,1.48756892672883,1.49719360754604,1.49665761796579,1.50460052220549,1.5015764795027,1.50603249189603,1.49197832572991,1.48618548080548,1.49572237081645,1.49161919926026,1.50263877275978,1.50964643807582,1.51047518094219,1.50300587302944,1.50218057946905,1.51162339363323,1.51212475394928,1.50883248708195,1.50662082184322,1.50893767238922,1.50859344569918,1.50346149629776,1.51229966387065,1.51293423037148,1.52513384301374,1.52484497021818,1.51752944017805,1.51224192398818,1.52471478899635,1.53569565277623,1.52266598890289,1.52231556263603,1.52431285224329,1.52588290374561,1.53668153510081,1.5385674552431,1.54574674277915,1.54370097304319,1.54326409617017,1.53449817854362,1.54165066648084,1.55009501601076,1.5592708849335
Uranium,1.286,1.28370134538826,1.282922220795,1.28441807248956,1.27853118024871,1.28686102163499,1.29295411247063,1.29763867070128,1.30215959998429,1.29316751421221,1.29052938245288,1.29049388024831,1.28478571944715,1.2874198920506,1.29624076339346,1.29292665413274,1.29627527980213,1.30018055186872,1.30367760727813,1.30435542417856,1.31342154418656,1.32063433332755,1.32271431858172,1.32136841570899,1.32788871579264,1.32813418799614,1.32942810157184,1.32498160193927,1.33193526429029,1.33034511078569,1.32687457691514,1.32978260019253,1.33581734546023,1.33643437641419,1.33738414657357,1.3435544903466,1.33975141538366,1.33874150637622,1.33906426769326,1.34731898963222,1.3492066993026,1.34900706307316,1.33609528138698,1.33445518267159,1.32647134856162,1.32006265746819,1.32903195687968,1.33152232036489,1.32889420365178,1.32967776353569,1.33313100172406,1.33107533109584,1.3214418278945,1.32630061757665,1.33304604007949,1.33018643203978,1.32794938496755,1.32863569137232,1.32545003038489,1.32869191459447,1.33072478480955,1.33177791219484,1.3312208293998,1.32113617194914,1.32353337205586,1.33071127690017,1.33408870009316,1.34038914830291,1.33363792141791,1.33864185956757,1.33388093166049,1.33492448071011,1.34064613362658,1.3400271317906,1.3470502381869,1.35841615300462,1.35938881695657,1.36230056128234,1.36702046439513,1.37397987833493,1.38208028443389,1.37720682067533,1.38134544084724,1.3873779040695,1.39011908114543,1.37793427802971,1.36901997620964,1.35935657107528,1.34918289759717,1.34610167960911,1.34872181628003,1.3399441850106,1.34512146494563,1.34483588238306,1.33893243843142,1.33401115843405,1.32868685805035,1.33443289952497,1.32825844126722,1.32157615135161
