YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110
Coal.Medium,3.6917419368,4.04533827474325,3.91423757270112,3.17320905428426,3.16422206081769,2.60497906572629,2.56962095610255,2.42195534067103,2.84966702391442,3.28761516079893,3.50989855901316,3.2058381679813,3.16827952518201,3.64392836560466,3.70452674609409,3.40589074029613,3.75024333658182,3.53709382090386,3.65187786214919,3.73029287399644,3.67749098588936,3.55200993275555,3.41607225228615,3.5544399021832,3.64011336407955,3.67549460953598,3.45879410093114,3.20225972724754,3.31822829329661,3.42052928772402,3.59001879146971,3.28818394692744,3.55495436461607,3.08456617033397,2.92935704143777,3.23535858708579,3.43639824617848,4.03966010111345,3.80400304922641,3.5647757760344,3.63283536121248,3.44160787752362,3.43051377430401,3.12550169940373,2.94946481178145,2.67877242515358,2.54579742774918,2.52196184742351,2.8140478735048,2.89132789907776,2.6757644850081,2.84864193522466,3.07204300716625,3.57805567559233,3.50262081972507,3.42639239673832,3.61207496394089,4.3454297797591,4.03161052810018,4.27221162032615,4.04270080519135,3.71492892884916,3.40778820179026,3.6083939441689,3.2065418981709,3.42488826427902,3.39657921456765,3.26870292164584,3.6473505544181,3.52068185467724,3.06914514289505,3.43118848273537,2.94375050617629,2.85049017603166,3.51177333596712,3.16902143286592,3.13843768720743,3.38581715261126,3.04360295058671,2.6796513043969,3.03731328567545,3.47677123881078,3.5041672153581,3.78790117831812,3.67056596275287,3.2224144784283,3.56830132326523,3.71245325943975,4.05152529946687,3.79887498341565,3.44763915096186,3.70251471403197,3.14211075400345,2.79040297960276,3.47940198890201,3.87993353804613,3.697686054959,3.49909205839318,3.3029307281367,3.22821547736611
NaturalGas.Medium,6.1752774216,6.65762256467869,7.10300514970598,6.94087097762644,6.72042004096315,6.81002070985528,6.69659490221441,7.07795732014526,7.40942560241766,8.12477570683166,8.55865935284705,7.5485080764081,7.48839892950005,7.15802016728372,7.09813319357134,7.08936003243261,7.19106053694447,7.7399756856196,7.91285539033508,8.04710570339298,8.29340543658972,9.00276853635493,8.86132856075728,8.03879687980135,8.38662469678726,8.12151195781021,8.50715711440209,8.45767724781603,8.56021305994102,8.71442320842541,9.08119548825441,9.37356641483347,8.93119757433057,7.63451572848292,8.68923796175174,9.1473228982701,8.95405787453258,9.72164497415101,9.83213568901992,8.75958082637682,9.12060621470185,9.46866120195416,9.84528565904756,9.44380394593891,9.55467569784229,9.69811586224638,9.21662676857685,9.55500917132447,9.40538058240041,10.454595660152,10.3553934675484,10.8567816448474,11.477746698208,11.7697391423116,12.2937124452095,11.88676316855,12.5051322817534,12.677502497908,12.410222976311,13.292864342812,13.1738890479995,12.6062488748035,10.7280359870708,10.6248256286265,9.70466100536946,10.6574022565527,9.51844759259771,9.61297530238243,10.8863904500153,11.5113063838424,10.8724648733579,10.7703773314627,10.8900187330646,10.0315274797507,10.4678022138032,9.91177818258319,10.9485576843299,12.6382976435779,12.4363325487449,12.1203460531237,11.9570516323142,12.9142046782514,12.4946888052825,13.4972684395397,13.5836166811858,13.5656169337231,15.2018443705416,15.9524903803064,17.0398415565373,15.2041429130865,14.1720348189389,13.2798385404488,12.755968212842,13.3913264406714,14.6349689145508,13.9693745543778,12.6686626717437,12.7503270032984,13.3464539158632,13.1584071260738
Coal.Low,3.6917419368,4.00789945761423,3.77761469184798,2.95319884778383,2.84044070550961,2.25571561675007,2.14653814981409,1.95122786380768,2.2136060749468,2.46100983438716,2.54898210834369,2.27111536690533,2.19937648476151,2.48784587951494,2.49501487274309,2.26845290005595,2.47511134549905,2.31705647239485,2.37765749616627,2.41657691396899,2.37262048401006,2.28398182571876,2.19054237023339,2.2741459541793,2.32467260604318,2.34372943055687,2.20282479466303,2.03738264695765,2.10941838559697,2.1729782306792,2.27938532229085,2.08679499401203,2.25525752099045,1.95624802892742,1.85735034069453,2.05095093645765,2.17802940552132,2.56003342768701,2.41042155978841,2.25862703240454,2.30157641845555,2.18029049986064,2.17315286351089,1.97985299877654,1.8682791544528,1.6967676212666,1.61250313089591,1.59737613322889,1.78235239701671,1.8312770285537,1.69472864918794,1.80420771224371,1.94568711851507,2.26615902920136,2.21837228404596,2.17008517154156,2.28767911282256,2.75213668690021,2.55337700347663,2.70575456123099,2.56039308606703,2.35280029107776,2.15827485069096,2.28532395793169,2.03081553887028,2.1691008590492,2.15117086188737,2.07018168915532,2.30999158242643,2.22976746488503,1.94379355845458,2.17308753525636,1.86437637153886,1.80531127801852,2.22412395320509,2.00704752841202,1.9876777053716,2.14435130802662,1.92761552933773,1.69711272871556,1.92363196654547,2.20195532311785,2.21930607239681,2.39900422947463,2.32469189532092,2.04086258847924,2.25992424889943,2.35122046366456,2.56596608199117,2.40595420145881,2.18350482927088,2.34492601515692,1.99000349810932,1.76725523537858,2.20362127491969,2.45729125472079,2.34186784570464,2.21609164543081,2.09185613435453,2.04453647423287
NaturalGas.Low,6.1752774216,6.4643519315514,6.5513099942578,5.98422200109448,5.43600779084543,5.18198067496272,4.84262814589225,4.90453127298696,4.95788978533648,5.28320706337674,5.43648736583794,4.70375094838013,4.59359384116276,4.33484070334749,4.25356498232571,4.21185390154827,4.24223749518054,4.53975952487316,4.61926060655006,4.67947633660319,4.79849874859063,5.17797081006279,5.06256634935306,4.55926717941256,4.71977404342428,4.5335981527895,4.70913240104993,4.64157551361076,4.65680673903292,4.69875198572737,4.8528160352771,4.96411787039357,4.68730474006361,3.9707218071837,4.47866999426276,4.67251938137034,4.53295446554972,4.87779583540562,4.8896172352798,4.3179369862396,4.45663549831095,4.58657087546358,4.72792495455265,4.49634047823485,4.5105120978902,4.53965572293028,4.27820228782755,4.39847709784335,4.29395613483391,4.73398022096351,4.6510558669701,4.83703652642557,5.072890809028,5.16075626754308,5.34815406036339,5.13080149635768,5.35595236602633,5.38808784082195,5.23429853438023,5.56417104681939,5.47297681860786,5.19813511896565,4.39094527036742,4.31677515429774,3.91418339709278,4.26735118770598,3.78392131256368,3.79424307377049,4.26643046412429,4.47961412207753,4.20146466979914,4.13315336484931,4.15028600415874,3.79695872822982,3.93517510036681,3.7010072110689,4.06073699279009,4.65624314692273,4.55153395434835,4.40674461703908,4.31899931602088,4.6344839724038,4.45504538982645,4.78171393291961,4.78169592204436,4.74517799884548,5.28412435974417,5.51043873306963,5.84953190017161,5.18718939962672,4.80544371017505,4.4754995499876,4.27292933067423,4.45877299646492,4.84371728196847,4.59594376455115,4.14337879481489,4.14559137266289,4.31407174267229,4.22859333259967
Coal.High,3.6917419368,4.08127455762422,4.01139215783892,3.32055201306838,3.38756829588726,2.85702822678779,2.89010271832562,2.7944748372016,3.37427641120942,3.99447939163224,4.37174590381201,4.08990841001924,4.13688383339402,4.86574980393438,5.05561951947931,4.73928623925065,5.31055812278072,5.08897578370184,5.33123625904472,5.51957704902638,5.51022997635672,5.38539769560604,5.23745997546338,5.5078741967982,5.69839536632156,5.81050628391987,5.52005944015106,5.1579493516203,5.39293951365442,5.60818578739608,5.93687542159167,5.4837940764696,5.97808777977015,5.22963490313574,5.00667855493946,5.57385226599119,5.96693540436389,7.06919153953032,6.70822619122479,6.33443658727943,6.50428079359466,6.20816380387972,6.23420282485057,5.72182273800766,5.43907064613172,4.97575417271363,4.76281945711047,4.75195384254452,5.3399287662892,5.52521286315497,5.14902666474622,5.51974566419383,5.99364785786887,7.02866631770353,6.92724253103964,6.82221940800873,7.2401382905451,8.76808756604393,8.18867353020577,8.73437186654967,8.31908993975793,7.69416773985308,7.10350245845057,7.56980702379228,6.7695697355657,7.27623024001814,7.26140183804055,7.03162840896615,7.89483322324007,7.6676219909966,6.72517313433611,7.56426300298348,6.52894660764164,6.36013014880078,7.88245900116891,7.15539887124121,7.12820910786408,7.73523783524733,6.99401553535365,6.19342174091771,7.06059420176448,8.12854387587054,8.23933733063749,8.95700742792315,8.72851426175441,7.70580497377477,8.58052633506863,8.97668159147514,9.8505974527358,9.28699315882178,8.47432458911868,9.15019713006281,7.80715588765945,6.97049255095819,8.73803809345913,9.79566980751038,9.38487040562324,8.92750294546105,8.47107660829929,8.32251169831784
NaturalGas.High,6.1752774216,6.82844510221931,7.56869998555119,7.52129958876264,7.40257704066769,7.62231176915482,7.6772135434749,8.36774136114778,9.02079558831008,10.1753991642768,10.9776026643683,9.87293609974501,9.95221671532869,9.63852075152866,9.6608963317407,9.73401841174038,9.94486649535022,10.7671501813587,11.0607962619623,11.2929042549073,11.6696960885872,12.688655658522,12.4993851130407,11.3406573924993,11.8264876144335,11.4429346701772,11.971966762258,11.8848103863142,12.0085540240074,12.2021205740385,12.6903195216151,13.0714357480925,12.4275119325804,10.5995699399051,12.0366110160101,12.6421745828999,12.3465935252536,13.3741005671399,13.4949553121164,11.9952506143289,12.4611389237895,12.9073713475767,13.3906333824994,12.8160042706079,12.9379223624375,13.1035637463531,12.4262037750588,12.855033240238,12.627154053212,14.0066679897803,13.8453582767873,14.4863905999172,15.2844092273683,15.6423912169712,16.3070304444857,15.7370048037424,16.5243490365517,16.720843717331,16.338159403472,17.4683408780445,17.2809230312934,16.5070244263067,14.0230693077565,13.8641866346797,12.6418982606055,13.8596433382797,12.3579052787959,12.4601625699603,14.0878872405545,14.8727550118138,14.0251749730861,13.8718094431089,14.0042884270556,12.880652538288,13.4206234378777,12.6888716661071,13.995561020969,16.132123431382,15.8515702745766,15.4269229276628,15.1977715562128,16.3916267428243,15.8374538042207,17.0851246652071,17.1714409157418,17.1260228282352,19.166613179073,20.0870464539464,21.4288026099058,19.0961234403298,17.777572355409,16.6378026660654,15.961929581897,16.7367107065313,18.269158160202,17.417647182222,15.7773689808216,15.8606804583223,16.583201570433,16.3310095731433
Biomass,4.5,4.50760722291747,4.62174517710351,4.64042853438467,4.82061892348851,4.83939305783057,4.86287650266235,4.9724237562163,5.15958227764585,5.30294698777642,5.35230633261361,5.37383426421257,5.55599005818877,5.56768611579864,5.59535615143493,5.46249012288289,5.33531271817259,5.29982004589034,5.3485654199829,5.60794169641716,5.70454993299837,5.71894669154574,5.60484346645132,5.81001106610706,5.71129803664134,5.8629864480642,5.65621524900546,5.72094328599881,5.88752452055358,5.93440689812051,6.11155046434251,6.24726950048457,6.6576821286032,6.84364662687528,7.00504824502925,6.92186361506076,6.64212429962507,6.70213165116617,6.78556043882651,6.73168488147289,6.72246554743495,6.81527623801399,7.24051782648294,7.12305974164508,7.02822420609925,7.20656043160802,7.56753355330776,7.42571176352063,7.26538563786321,7.0922796646354,7.05617176044519,7.22322992325202,7.23944086182721,7.32932260544351,7.60995772276026,7.55373529714269,7.71160409075124,7.8076018451845,7.98974749812662,8.11448898513382,8.06564631021063,8.32716813326287,8.52152568053936,8.98734665110583,8.84143033795638,8.74293426657356,8.84799368972108,9.07735213151195,9.2385287794105,9.66066104783358,9.57528490152393,9.74544413911481,9.89178396348388,10.0660801954312,10.1438047948213,10.6128652648454,10.9189696626453,10.9418708617775,11.1661243277638,11.2368871296789,11.3890248373931,11.2673967367738,11.5944195288253,11.8611943896763,11.5415387789315,11.5349106470063,11.6497852339062,12.0619165721338,12.5706047988208,13.1004930161686,13.339890393285,13.091196031575,13.1622333750335,12.8599801006481,12.8507509302881,12.9828802055989,12.6327531675568,12.9919899694411,12.8512570446524,12.3833986128578
Lignite,1.427777777,1.42716158670992,1.4235475654529,1.42157774706716,1.41707350888577,1.41825946023682,1.42054535788541,1.42493695172988,1.43693630459293,1.43397728168748,1.43321728444994,1.43415745115985,1.4339487729134,1.42986712402918,1.43119464208556,1.42928619250739,1.42744859894843,1.42851334947828,1.4185415099419,1.41635524478448,1.41258617659158,1.41656510557,1.42032245675421,1.42125583783952,1.41610517527889,1.41359762417179,1.41192631571566,1.42149451673495,1.42247482044828,1.42091224386078,1.41273467060903,1.41363529215032,1.40944404031515,1.41245377258744,1.41691639034935,1.41641369998733,1.41762078612911,1.4243727917689,1.42476778956368,1.42704161125723,1.43110015300792,1.43195302109003,1.4301155894364,1.42642929543418,1.4260709473403,1.43716216888162,1.43199605225506,1.42859731638769,1.4271401517747,1.43586655422743,1.43392764049516,1.4266732292746,1.43557919231388,1.4420280940493,1.45404628512896,1.44845901251233,1.45005180441209,1.44555669556259,1.44213298248639,1.45078145274118,1.44605961920966,1.45735054728372,1.45458359636327,1.45459162103049,1.45419865441251,1.46517186758348,1.45799457606039,1.45435567290719,1.46246975385895,1.46570002350359,1.46722991418851,1.46748365767109,1.46787875894445,1.46986588999369,1.45659698912278,1.4481283296926,1.45052479721468,1.44587399127352,1.44271317426599,1.44733595385936,1.45944025593805,1.46513725395965,1.46937836442645,1.4671746585733,1.46485511164994,1.45504867323239,1.4581573695679,1.45502476621375,1.45297340163411,1.45927444520727,1.46486193956481,1.46492749335986,1.46898235165213,1.47333050016139,1.47129944892371,1.47514417675952,1.47279880383079,1.47780997496551,1.47132040011354,1.47907594365527
Uranium,1.286,1.28578102558951,1.28482977093156,1.27939523260191,1.2772436500199,1.27647168792482,1.27857987998088,1.26962904422799,1.28053917578214,1.28064494545842,1.27760499900357,1.28629360890846,1.28530324656684,1.29366086248137,1.29981979197125,1.30620249186733,1.30188278659806,1.30163316834614,1.3040601295124,1.29489085317322,1.29914424939909,1.28966745265194,1.28190024560206,1.27896398959608,1.27777768996895,1.27258159151513,1.27086573652001,1.26450525795512,1.25306947742818,1.25547593301871,1.25131110486413,1.24782250868832,1.25363087789865,1.25670164069512,1.25522908296512,1.25965524212096,1.2506483690696,1.25653887330083,1.24989009258662,1.24851152254813,1.24760296123088,1.24955102933576,1.24711667833652,1.24598544415559,1.24182194467307,1.24784676638116,1.2429389374512,1.24210472231194,1.24730261720401,1.2482969636462,1.24327295614358,1.23853561421898,1.23834040419094,1.23826095594112,1.24101528250295,1.25127730411917,1.25870921796726,1.26584119544323,1.26197305527628,1.26355206146851,1.26683427547328,1.26586838646314,1.27110085107803,1.27059844946926,1.26895778641823,1.27483821637767,1.27585118274471,1.26760601649875,1.26168530391323,1.26733526541204,1.26562431293594,1.27159044480282,1.28078091464992,1.28340963968756,1.28461554767327,1.27712299465738,1.2697281799192,1.26661223572989,1.27674671155895,1.27463143523912,1.2807218678477,1.27579566270403,1.26525868029702,1.26546265333614,1.26464833492735,1.26942562461933,1.27269364951209,1.26554658130288,1.27077000469593,1.27745530846285,1.27210345955183,1.27314526410166,1.2740285580248,1.26790057584026,1.26681351634662,1.27084262008422,1.2741506311053,1.2736992882346,1.27663981923887,1.27288859941171
