V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111
YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
Uranium,1.286,1.291461642,1.285254778,1.28268221,1.276262862,1.272571064,1.275447654,1.280573982,1.278793845,1.269446452,1.273522753,1.265569029,1.264577125,1.276201196,1.276863697,1.282164159,1.282199984,1.283663917,1.287404481,1.290685206,1.285670932,1.295544138,1.292879506,1.303390289,1.308658163,1.310623898,1.30320524,1.300275786,1.299927473,1.296185111,1.298300705,1.298283454,1.303687881,1.303620432,1.298890116,1.293531982,1.294911479,1.289918866,1.297587694,1.294352238,1.296969726,1.295562015,1.29913921,1.301331069,1.307677681,1.317082234,1.324719838,1.331854635,1.328488508,1.322811395,1.322683814,1.328201217,1.329262305,1.326253438,1.329922155,1.327292793,1.316946371,1.307313314,1.303397969,1.304765303,1.300465274,1.303191734,1.296877862,1.297666364,1.30512955,1.303627964,1.29978274,1.312513079,1.31222625,1.322399611,1.318119173,1.316211576,1.319255563,1.313105395,1.311126739,1.308695117,1.316467522,1.321324206,1.321207965,1.321237727,1.31225104,1.304527664,1.302673891,1.303994742,1.305260609,1.302175705,1.307116065,1.314223947,1.312556406,1.307618381,1.306643843,1.308220731,1.305526923,1.314370195,1.317011339,1.317290861,1.30965213,1.307235657,1.307850631,1.314846532,1.323042579,1.327679848,1.325199828,1.315347184,1.322192532,1.327641722,1.325232793,1.322747456,1.320452844,1.326041364
Lignite,1.427777777,1.434238259,1.431130667,1.423986384,1.432169425,1.437229682,1.435772888,1.42386076,1.423514129,1.419958979,1.424903207,1.431908593,1.429062391,1.435300386,1.437627724,1.433978189,1.431656826,1.42430916,1.430384045,1.417198745,1.411321751,1.416572762,1.418056654,1.416041751,1.416488303,1.417899843,1.4233699,1.420875892,1.424604747,1.416315642,1.415386909,1.418179072,1.412355581,1.399415312,1.402287346,1.406563879,1.404677024,1.416302068,1.413003215,1.403427661,1.394039236,1.399718348,1.397038687,1.39223778,1.382003293,1.391198637,1.396842037,1.394785198,1.384866146,1.381739,1.385214909,1.388579937,1.385368092,1.391834802,1.396482568,1.394227824,1.397378166,1.39981896,1.39484307,1.391711742,1.399073187,1.405824315,1.414027263,1.418760842,1.417741606,1.418677029,1.411037382,1.408096423,1.41105133,1.415784957,1.415840366,1.418857033,1.428107018,1.423942328,1.420139,1.418246015,1.410458751,1.416008463,1.410465759,1.406259018,1.407748277,1.399534797,1.407975085,1.406693629,1.406563283,1.41487814,1.417351829,1.427315489,1.4313307,1.421323504,1.42167849,1.41537414,1.42095961,1.418385444,1.408651997,1.413273313,1.411965666,1.40902784,1.407744381,1.4042965,1.407444779,1.408179271,1.404239032,1.402318651,1.409048874,1.402640908,1.397654342,1.400994907,1.404382776,1.40463312
Biomass,4.5,4.464906749,4.541851893,4.453063557,4.316877512,4.378113505,4.495159468,4.619395075,4.62125849,4.529219244,4.705876208,4.575911621,4.666672365,4.629231497,4.62337878,4.597686016,4.864124681,5.083136294,5.192755001,5.184902125,5.095263863,5.171434481,5.216089029,5.493475154,5.403868791,5.154475585,5.025034761,4.982198618,5.060432002,5.090727226,5.17293225,5.3209371,5.486109681,5.53122942,5.798045713,5.911136935,6.034880267,5.999424832,6.060425384,6.17532344,6.250130243,6.454615009,6.665573121,6.731093021,6.627359382,6.712940887,6.622299755,6.866360405,6.751965917,6.909627634,7.14552,7.165555203,7.365328668,7.600709908,7.367660515,7.674652823,7.896029258,7.892820356,7.733123568,7.619809311,7.727217879,7.726732258,8.01704842,7.922952019,7.839504188,7.96273885,8.158489914,8.153981369,8.17015951,8.103518821,8.440378184,8.258873259,8.481287789,8.208668177,8.415134072,8.740121642,8.451211163,8.664105165,8.65119482,8.872837213,8.56424195,8.579397147,8.619899644,8.443573894,8.478612103,8.523355984,8.529604594,8.828313225,8.839976932,8.80448596,8.821454928,9.042555425,8.833855892,9.036035042,8.956424866,9.226705074,9.181168591,9.40198502,9.568154143,9.690015874,10.14260324,10.26334865,10.20368102,10.65222341,10.24814992,10.55686179,10.57019968,10.53889172,10.37061786,10.22224554
Coal,3.691741937,3.819200894,3.857990292,3.937962844,4.092218637,4.120788916,4.14872671,4.25483139,4.303567246,4.342748509,4.309088586,4.249229578,4.229342879,4.261738419,4.334265475,4.280836502,4.369578159,4.329536336,4.348160135,4.244691494,4.263991332,4.330062206,4.306018388,4.295878866,4.395565418,4.490278585,4.55645773,4.739169741,4.723831664,4.776889267,4.825562192,4.928807926,4.952495113,4.843848164,4.85847729,4.875651948,4.86631847,4.913177083,4.909569849,5.010323571,5.116177069,5.149961432,5.165166733,5.225514371,5.428759076,5.335478661,5.381312998,5.418981329,5.401817159,5.482196547,5.396433613,5.513978707,5.487454409,5.558354849,5.652304809,5.677858144,5.649365064,5.73267491,5.678264157,5.772195426,5.869755953,5.967682489,6.037660135,6.050168259,6.025638,6.116849743,6.207462059,6.206912149,6.474071448,6.674079345,6.717443444,6.80412008,6.708675354,6.563440733,6.727539786,6.66711668,6.636407228,6.697549413,6.744599991,6.587958741,6.68880392,6.783199101,6.786608486,6.81827052,6.807684116,6.786588676,6.913920404,7.011733339,6.941531134,6.924851055,7.091217641,7.174118706,7.154154735,7.14654463,7.476215396,7.500333488,7.660781209,7.831543914,7.885985765,8.045606515,7.947155086,8.03955261,8.092327033,8.138828932,8.124216187,8.28356908,8.652385522,9.017781994,9.184498129,9.372011248
Gas,7.5,7.650304241,8.140855902,7.885003941,7.96214313,8.033672266,8.422917687,8.709777931,9.153882401,9.60954368,10.0910374,9.786156918,10.27788189,10.28019042,10.89278112,11.45559783,12.02366404,12.11338017,12.28155606,12.56727837,12.95644786,13.69867898,13.31970747,13.40637164,13.50490269,13.29402908,13.74962486,13.95338835,14.39460251,14.41068569,13.88387097,13.64363123,14.11082994,13.73225626,14.47659602,15.16176308,16.1083206,16.61037401,16.53602636,17.18941107,17.55120784,17.02405842,16.52340171,17.24740355,17.38852735,18.51487738,18.65405013,19.3367024,19.36923888,19.61918258,20.12632138,20.46733176,20.42778983,21.28810012,20.81546799,20.88476435,21.39874239,21.20513098,21.51011004,22.8704593,22.67464935,24.20492089,25.06362104,24.78975368,24.55430295,23.71965608,23.94722945,24.74977523,23.72092198,23.67076085,23.21993383,24.15414688,24.94855592,25.22941816,25.92214723,26.95121841,28.21728878,29.8879494,29.68458058,30.6423801,31.6332258,32.12622195,33.90132873,33.67544143,35.81485508,34.67042099,33.73010575,34.48978696,33.44309347,32.63897857,34.46436161,34.37006199,33.80996,33.80098445,34.44750935,35.86720633,36.17877662,35.67182606,36.85832551,35.09941069,36.34762532,37.54076502,37.87852736,40.47781478,41.18839901,40.40909127,39.33751308,37.50585456,37.58314832,38.29304709
